64,星置,1,11103,1,1,,1,9,43.132375,141.210856,1110307,1110307,1110307,
65,稲穂,1,11103,1,1,,1,9,43.128115,141.222919,1110308,1110308,1110308,
66,手稲,1,11103,1,1,,1,9,43.120238,141.243785,1110309,1110309,1110309,
67,稲積公園,1,11103,1,1,,1,9,43.112023,141.257113,1110310,1110310,1110310,
68,発寒,1,11103,1,1,,1,7,43.099819,141.277273,1110311,1110311,1110311,
69,発寒中央,1,11103,1,1,,1,7,43.089271,141.294497,1110312,1110312,1110312,
70,琴似,1,11103,1,1,,1,7,43.081599,141.307418,1110313,1110313,1110313,
71,桑園,1,11103,1,1,,1,1,43.070744,141.332036,1110314,1110314,1110314,
72,札幌,1,11103,1,1,,1,2,43.068612,141.350768,1110315,1110315,1110315,
73,苗穂,1,11103,1,1,,1,1,43.068574,141.377522,1110316,1110316,1110316,
74,白石,1,11103,1,1,,1,4,43.054715,141.413612,1110317,1110317,1110317,
75,厚別,1,11103,1,1,,1,8,43.045154,141.46369,1110318,1110318,1110318,
76,森林公園,1,11103,1,1,,1,8,43.056456,141.481332,1110319,1110319,1110319,
77,大麻,1,11103,1,1,,17,26,43.072382,141.496925,1110320,1110320,1110320,
78,野幌,1,11103,1,1,,17,26,43.092559,141.52984,1110321,1110321,1110321,
79,高砂,1,11103,1,1,,17,26,43.100084,141.540752,1110322,1110322,1110322,
80,江別,1,11103,1,1,,17,26,43.110189,141.55679,1110323,1110323,1110323,
81,豊幌,1,11103,1,1,,17,26,43.136446,141.62466,1110324,1110324,1110324,
82,幌向,1,11103,1,1,,10,19,43.151348,141.655839,1110325,1110325,1110325,
83,上幌向,1,11103,1,1,,10,19,43.18183,141.715391,1110326,1110326,1110326,
84,岩見沢,1,11103,1,1,,10,19,43.204201,141.759359,1110327,1110327,1110327,
85,峰延,1,11103,1,1,,15,24,43.264694,141.814673,1110328,1110328,1110328,
86,光珠内,1,11103,1,1,,15,24,43.292658,141.844655,1110329,1110329,1110329,
87,美唄,1,11103,1,1,,15,24,43.330751,141.862157,1110330,1110330,1110330,
88,茶志内,1,11103,1,1,,15,24,43.369842,141.87336,1110331,1110331,1110331,
89,奈井江,1,11103,1,1,,74,83,43.423718,141.889115,1110332,1110332,1110332,
90,豊沼,1,11103,1,1,,26,35,43.464224,141.901032,1110333,1110333,1110333,
91,砂川,1,11103,1,1,,26,35,43.493468,141.909642,1110334,1110334,1110334,
92,滝川,1,11103,1,1,,25,34,43.555278,141.900807,1110335,1110335,1110335,
93,江部乙,1,11103,1,1,,25,34,43.627564,141.935937,1110336,1110336,1110336,
94,妹背牛,1,11103,1,1,,82,91,43.690841,141.966591,1110337,1110337,1110337,
