1,JR北海道,JR,
2,JR東日本,JR,
3,JR東海,JR,
4,JR西日本,JR,
5,JR四国,JR,
6,JR九州,JR,
11,東武鉄道,東武,
12,西武鉄道,西武,
13,京成電鉄,京成,
14,京王電鉄,京王,
15,小田急電鉄,小田急,
16,東急電鉄,東急,
17,京急電鉄,京急,
18,東京メトロ,東京メトロ,
19,相模鉄道,相鉄,
20,名古屋鉄道,名鉄,
21,近畿日本鉄道,近鉄,
22,南海電鉄,南海,
23,京阪電鉄,京阪,
24,阪急電鉄,阪急,
25,阪神電鉄,阪神,
26,西日本鉄道,西鉄,
101,札幌市交通局,札幌市交通局,
102,函館市交通局,函館市電,
103,北海道ちほく高原鉄道,北海道ちほく高原鉄道,1
248,道南いさりび鉄道,道南いさりび,
104,津軽鉄道,津軽鉄道,
105,弘南鉄道,弘南鉄道,
106,十和田観光電鉄,十和田観光電鉄,1
107,IGRいわて銀河鉄道,IGRいわて銀河鉄道,
108,青い森鉄道,青い森鉄道,
109,三陸鉄道,三鉄,
110,秋田内陸縦貫鉄道,秋田内陸縦貫鉄道,
111,由利高原鉄道,由利高原鉄道,
112,山形鉄道,山形鉄道,
113,くりはら田園鉄道,栗原電鉄,1
114,阿武隈急行,阿武急,
115,仙台市交通局,仙台市交通局,
116,福島交通,福島交通,
117,会津鉄道,会津鉄道,
118,仙台空港鉄道,仙台空港鉄道,
119,東京都交通局,東京都交通局,
120,秩父鉄道,秩鉄,
121,埼玉高速鉄道,埼玉高速鉄道,
122,いすみ鉄道,いすみ鉄道,
123,首都圏新都市鉄道,首都圏新都市鉄道,
124,横浜高速鉄道,横浜高速鉄道,
125,ゆりかもめ,ゆりかもめ,
126,わたらせ渓谷鐵道,わたらせ渓谷鐵道,
127,山万,山万,
128,伊豆箱根鉄道,いずはこ,
129,ひたちなか海浜鉄道,ひたちなか海浜鉄道,
130,横浜市交通局,横浜市交通局,
131,株式会社横浜シーサイドライン,横浜シーサイドライン,
132,関東鉄道,関鉄,
133,江ノ島電鉄,江ノ電,
134,埼玉新都市交通,埼玉新都市交通,
135,鹿島鉄道,鹿鉄,1
136,鹿島臨海鉄道,鹿島臨海鉄道,
137,芝山鉄道,芝山鉄道,
138,小湊鐵道,小湊鐵道,
139,湘南モノレール,湘南モノレール,
140,上信電鉄,上信電鉄,
141,上毛電気鉄道,上電,
142,新京成電鉄,新京成電鉄,
143,真岡鐵道,真岡鐵道,
144,千葉都市モノレール,千葉モノレール,
145,流鉄,流鉄,
146,多摩都市モノレール,多摩モノレール,
147,銚子電気鉄道,銚子電鉄,
148,東京モノレール,東京モノレール,
149,東京臨海高速鉄道,東京臨海高速鉄道,
150,東葉高速鉄道,東葉高速鉄道,
151,箱根登山鉄道,箱根登山鉄道,
152,北総鉄道,北総鉄道,
153,野岩鉄道,野岩鉄道,
154,富士急行,富士急,
155,北越急行,北越急行,
156,しなの鉄道,しな鉄,
157,上田交通,上交,
158,長野電鉄,長電,
159,アルピコ交通,アルピコ交通,
160,富山地方鉄道,富山地鉄,
161,神岡鉄道,神鉄,1
163,万葉線,万葉線,
162,黒部峡谷鉄道,黒鉄,
164,富山ライトレール,富山ライトレール,
165,北陸鉄道,北鉄,
244,えちごトキめき鉄道,トキてつ,
245,あいの風とやま鉄道,あいてつ,
246,IRいしかわ鉄道,いしてつ,
166,のと鉄道,のと鉄,
167,えちぜん鉄道,えち鉄,
168,福井鉄道,福鉄,
169,伊豆急行,伊豆急,
170,岳南鉄道,岳南鉄道,
171,静岡鉄道,静鉄,
172,天竜浜名湖鉄道,天竜浜名湖鉄道,
173,遠州鉄道,遠鉄,
174,大井川鐵道,大鐵,
175,名古屋臨海高速鉄道,名臨高,
176,東海交通事業,東海交通事業,
177,愛知環状鉄道,愛環,
178,愛知高速交通,愛知高速交通,
179,名古屋市交通局,名古屋市交通局,
180,桃花台新交通,桃花台新交通,1
181,豊橋鉄道,豊鉄,
182,名古屋ガイドウェイバス,名古屋ガイドウェイバス,
183,明知鉄道,明知鉄道,
184,長良川鉄道,長鉄,
185,樽見鉄道,樽鉄,
186,三岐鉄道,三岐鉄道,
187,伊勢鉄道,伊勢鉄道,
188,伊賀鉄道,伊賀鉄道,
189,養老鉄道,養老鉄道,
247,四日市あすなろう鉄道,あすてつ,
190,近江鉄道,近江鉄道,
191,信楽高原鐵道,信楽高原鐵道,
192,嵯峨野観光鉄道,嵯峨野トロッコ,
193,叡山電鉄,叡電,
194,京都丹後鉄道,丹鉄,
195,京都市交通局,京都市交通局,
196,京福電気鉄道,京福電気鉄道,
197,北大阪急行電鉄,北急,
198,大阪府都市開発,泉北高速,
199,水間鉄道,水鉄,
249,Osaka Metro,大阪メトロ,
200,大阪市交通局,大阪市交通局,
201,大阪モノレール株式会社,大阪モノレール,
202,阪堺電気軌道,阪堺,
203,神戸高速鉄道,神戸高速,
204,神戸電鉄,神鉄,
205,北神急行電鉄,北神急行,1
206,山陽電気鉄道,山陽電車,
207,能勢電鉄,能勢電,
208,三木鉄道,三木鉄道,1
209,北条鉄道,北条鉄道,
210,智頭急行,智頭急,
211,神戸市交通局,神戸市交通局,
212,神戸新交通,新神交,
213,紀州鉄道,紀鉄,
214,和歌山電鐵,和歌山電鐵,
215,若桜鉄道,若鉄,
216,一畑電車,ばたでん,
217,水島臨海鉄道,水島臨海鉄道,
218,井原鉄道,井原鉄道,
219,岡山電気軌道,岡電,
220,スカイレールサービス,スカイレールサービス,
221,広島高速交通,広島高速交通,
222,広島電鉄,広電,
223,錦川鉄道,錦川鉄道,
224,阿佐海岸鉄道,阿佐鉄,
225,高松琴平電気鉄道,琴電,
226,伊予鉄道,伊予鉄,
227,土佐くろしお鉄道,土佐くろしお鉄道,
228,土佐電気鉄道,土佐電,
229,甘木鉄道,甘木鉄道,
230,平成筑豊鉄道,平成筑豊鉄道,
231,福岡市交通局,福岡市交通局,
232,北九州高速鉄道,北九州モノレール,
233,筑豊電気鉄道,筑鉄,
234,松浦鉄道,松浦鉄道,
235,島原鉄道,島原鉄道,
236,長崎電気軌道,長崎電気軌道,
237,熊本電気鉄道,熊本電気鉄道,
238,南阿蘇鉄道,南阿蘇鉄道,
239,くま川鉄道,くま川鉄道,
240,肥薩おれんじ鉄道,肥薩おれんじ鉄道,
241,熊本市交通局,熊本市交通局,
242,鹿児島市交通局,鹿児島市交通局,
243,沖縄都市モノレール,沖縄都市モノレール,
